review_id,booking_id,customer_id,flight_id,review_date,rating,review_text,language,topics
RVW000015,BKG000061,CUST0069,FLT00003,2025-01-08,2,Boarding announced late and we sat on the apron for ages. Boarding was very slow and disorganized.,en,punctuality;boarding
RVW000016,BKG000070,CUST0226,FLT00003,2025-01-07,4,"Good value for the price paid. Right on schedule, exactly what I needed. Staff went out of their way to help.",en,value_for_money;punctuality;staff_service
RVW000017,BKG000071,CUST0082,FLT00003,2025-01-11,3,Boarding was very slow and disorganized. Cabin was clean and well prepared.,en,boarding;cleanliness
RVW000018,BKG000073,CUST0179,FLT00003,2025-01-11,4,Attentive service from boarding to landing. Priority boarding worked smoothly.,en,staff_service;boarding
RVW000019,BKG000075,CUST0049,FLT00003,2025-01-12,3,Lavatories were dirty by mid-flight. Felt ignored by the cabin crew during the flight. Departed over an hour late and I missed my connection.,en,cleanliness;staff_service;punctuality
RVW000020,BKG000081,CUST0135,FLT00004,2025-01-09,1,We were left guessing what was happening. Felt overpriced for what was offered. Very disappointing experience.,en,communication;value_for_money
RVW000021,BKG000083,CUST0199,FLT00004,2025-01-14,4,"Seat was comfortable for the route length. Priority boarding worked smoothly. Right on schedule, exactly what I needed.",en,cabin_comfort;boarding;punctuality
RVW000022,BKG000085,CUST0287,FLT00004,2025-01-07,2,The delay was very disruptive to my schedule. No communication during the delay — very frustrating.,en,punctuality;communication
RVW000023,BKG000090,CUST0189,FLT00004,2025-01-04,3,"The delay was very disruptive to my schedule. Meal was disappointing, especially for a long-haul flight. One bag arrived on a later flight — frustrating.",en,punctuality;food_beverage;baggage
RVW000024,BKG000091,CUST0228,FLT00004,2025-01-06,1,Cabin felt tired and the seat padding was thin. Significant delay with poor communication. Drinks options were very limited. Very disappointing experience.,en,cabin_comfort;punctuality;food_beverage
RVW000025,BKG000096,CUST0078,FLT00004,2025-01-08,2,"Meal was disappointing, especially for a long-haul flight. Would not pay this fare again given the experience.",en,food_beverage;value_for_money
RVW000026,BKG000098,CUST0030,FLT00004,2025-01-02,3,Bags arrived quickly at the carousel.,en,baggage
RVW000027,BKG000099,CUST0295,FLT00004,2025-01-08,1,Felt ignored by the cabin crew during the flight. Hope they take this feedback seriously.,en,staff_service
RVW000028,BKG000100,CUST0254,FLT00004,2025-01-15,3,Reasonable fare for the route. Seat was cramped and uncomfortable. Staff went out of their way to help.,en,value_for_money;cabin_comfort;staff_service
RVW000029,BKG000113,CUST0205,FLT00005,2025-01-02,3,"Meal was disappointing, especially for a long-haul flight.",en,food_beverage
RVW000030,BKG000114,CUST0149,FLT00005,2025-01-06,4,"Cabin was modern and pleasant. Reasonable fare for the route. Right on schedule, exactly what I needed.",en,cabin_comfort;value_for_money;punctuality
RVW000031,BKG000117,CUST0253,FLT00005,2025-01-15,3,My luggage was damaged on arrival. Plenty of legroom in this cabin.,en,baggage;cabin_comfort
RVW000032,BKG000119,CUST0071,FLT00005,2025-01-04,5,Newer aircraft made a real difference. Reasonable fare for the route. Boarded and pushed back early — great work. Great experience overall.,en,cabin_comfort;value_for_money;punctuality
RVW000033,BKG000121,CUST0029,FLT00005,2025-01-11,4,Staff went out of their way to help. Bags arrived quickly at the carousel.,en,staff_service;baggage
RVW000034,BKG000123,CUST0051,FLT00005,2025-01-09,3,Baggage handling was efficient on arrival.,en,baggage
RVW000035,BKG000125,CUST0240,FLT00005,2025-01-11,5,Reasonable fare for the route. Crew handled a tough situation with patience. Great experience overall.,en,value_for_money;staff_service
RVW000036,BKG000126,CUST0015,FLT00006,2025-01-15,3,Staff went out of their way to help. Would not pay this fare again given the experience.,en,staff_service;value_for_money
RVW000037,BKG000130,CUST0010,FLT00006,2025-01-05,4,Crew handled a tough situation with patience.,en,staff_service
RVW000038,BKG000131,CUST0033,FLT00006,2025-01-08,2,Felt overpriced for what was offered. Food quality below other African carriers.,en,value_for_money;food_beverage
RVW000039,BKG000132,CUST0236,FLT00006,2025-01-05,3,Boarded and pushed back early — great work.,en,punctuality
RVW000040,BKG000139,CUST0224,FLT00006,2025-01-10,4,Enjoyed the local menu options. Newer aircraft made a real difference. Crew handled a tough situation with patience.,en,food_beverage;cabin_comfort;staff_service
RVW000041,BKG000140,CUST0145,FLT00006,2025-01-12,4,Boarding was orderly and quick.,en,boarding
RVW000042,BKG000142,CUST0053,FLT00006,2025-01-09,4,Boarded and pushed back early — great work. Crew handled a tough situation with patience. Boarding was orderly and quick.,en,punctuality;staff_service;boarding
RVW000043,BKG000143,CUST0176,FLT00006,2025-01-06,4,Departed and arrived on time. Reasonable fare for the route.,en,punctuality;value_for_money
RVW000044,BKG000145,CUST0131,FLT00006,2025-01-07,4,Crew handled a tough situation with patience. Cabin was modern and pleasant.,en,staff_service;cabin_comfort
RVW000045,BKG000147,CUST0114,FLT00006,2025-01-11,2,We were left guessing what was happening. Felt overpriced for what was offered. Departed over an hour late and I missed my connection.,en,communication;value_for_money;punctuality
RVW000046,BKG000148,CUST0116,FLT00006,2025-01-05,3,Boarding was orderly and quick. Crew seemed rushed and impatient. Seat was cramped and uncomfortable.,en,boarding;staff_service;cabin_comfort
RVW000047,BKG000150,CUST0229,FLT00006,2025-01-10,3,Food quality below other African carriers. One bag arrived on a later flight — frustrating.,en,food_beverage;baggage
RVW000048,BKG000154,CUST0120,FLT00007,2025-01-09,5,Meal was tasty and well presented. Crew handled a tough situation with patience. Would fly again.,en,food_beverage;staff_service
RVW000049,BKG000156,CUST0197,FLT00007,2025-01-04,4,Meal was tasty and well presented. Crew handled a tough situation with patience.,en,food_beverage;staff_service
RVW000050,BKG000158,CUST0006,FLT00007,2025-01-13,2,Cabin felt tired and the seat padding was thin. Would not pay this fare again given the experience.,en,cabin_comfort;value_for_money
RVW000051,BKG000159,CUST0282,FLT00007,2025-01-12,4,"Crew kept us informed throughout the flight. Right on schedule, exactly what I needed. Snack service was a nice touch.",en,communication;punctuality;food_beverage
RVW000052,BKG000161,CUST0095,FLT00007,2025-01-06,3,Food quality below other African carriers. Reasonable fare for the route. Seat was comfortable for the route length.,en,food_beverage;value_for_money;cabin_comfort
RVW000053,BKG000162,CUST0089,FLT00007,2025-01-13,3,Felt ignored by the cabin crew during the flight. We were left guessing what was happening. Seat was cramped and uncomfortable.,en,staff_service;communication;cabin_comfort
RVW000054,BKG000163,CUST0212,FLT00007,2025-01-09,4,Enjoyed the local menu options.,en,food_beverage
RVW000055,BKG000164,CUST0007,FLT00007,2025-01-03,5,Reasonable fare for the route. Would fly again.,en,value_for_money
RVW000056,BKG000173,CUST0052,FLT00007,2025-01-07,5,Crew handled a tough situation with patience. Baggage handling was efficient on arrival. Highly recommend this airline.,en,staff_service;baggage
RVW000057,BKG000182,CUST0048,FLT00008,2025-01-04,3,Seat was comfortable for the route length. Boarding was orderly and quick.,en,cabin_comfort;boarding
RVW000058,BKG000183,CUST0109,FLT00008,2025-01-06,4,Meal was tasty and well presented. Crew kept us informed throughout the flight.,en,food_beverage;communication
RVW000059,BKG000186,CUST0253,FLT00008,2025-01-07,4,Reasonable fare for the route. Crew kept us informed throughout the flight.,en,value_for_money;communication
RVW000060,BKG000191,CUST0236,FLT00008,2025-01-14,5,"Smooth and punctual flight, no fuss. Plenty of legroom in this cabin. Great experience overall.",en,punctuality;cabin_comfort
RVW000061,BKG000197,CUST0110,FLT00008,2025-01-14,3,We were left guessing what was happening. Cabin crew were friendly and professional.,en,communication;staff_service
RVW000062,BKG000199,CUST0070,FLT00008,2025-01-15,4,Baggage handling was efficient on arrival.,en,baggage
RVW000063,BKG000202,CUST0028,FLT00009,2025-01-07,3,Boarding was orderly and quick. Baggage handling was efficient on arrival. Significant delay with poor communication.,en,boarding;baggage;punctuality
RVW000064,BKG000204,CUST0157,FLT00009,2025-01-13,3,Drinks options were very limited. Recline didn't work properly.,en,food_beverage;cabin_comfort
RVW000065,BKG000214,CUST0141,FLT00009,2025-01-03,5,Departed and arrived on time. Crew kept us informed throughout the flight. Highly recommend this airline.,en,punctuality;communication
RVW000066,BKG000215,CUST0165,FLT00009,2025-01-03,5,Enjoyed the local menu options. Good value for the price paid. Baggage handling was efficient on arrival. Great experience overall.,en,food_beverage;value_for_money;baggage
RVW000067,BKG000216,CUST0285,FLT00009,2025-01-15,4,Enjoyed the local menu options. Boarding was orderly and quick.,en,food_beverage;boarding
RVW000068,BKG000220,CUST0295,FLT00009,2025-01-08,5,"Smooth and punctual flight, no fuss. Attentive service from boarding to landing. Would fly again.",en,punctuality;staff_service
RVW000069,BKG000221,CUST0250,FLT00009,2025-01-08,4,Priority boarding worked smoothly. Crew kept us informed throughout the flight.,en,boarding;communication
RVW000070,BKG000223,CUST0204,FLT00009,2025-01-07,3,Attentive service from boarding to landing. Good beverage selection on board.,en,staff_service;food_beverage
RVW000071,BKG000224,CUST0165,FLT00009,2025-01-03,4,Priority boarding worked smoothly. Snack service was a nice touch.,en,boarding;food_beverage
RVW000072,BKG000229,CUST0119,FLT00010,2025-01-04,5,Good value for the price paid. Clear announcements from the flight deck. Highly recommend this airline.,en,value_for_money;communication
RVW000073,BKG000233,CUST0185,FLT00010,2025-01-15,4,Cabin crew were friendly and professional. Bags arrived quickly at the carousel.,en,staff_service;baggage
RVW000074,BKG000235,CUST0174,FLT00010,2025-01-02,5,Plenty of legroom in this cabin. Reasonable fare for the route. Great experience overall.,en,cabin_comfort;value_for_money
RVW000075,BKG000236,CUST0092,FLT00010,2025-01-08,2,Significant delay with poor communication.,en,punctuality
RVW000076,BKG000239,CUST0227,FLT00010,2025-01-10,5,"Priority boarding worked smoothly. Right on schedule, exactly what I needed. Bags arrived quickly at the carousel. Great experience overall.",en,boarding;punctuality;baggage
RVW000077,BKG000244,CUST0194,FLT00010,2025-01-09,4,"Smooth and punctual flight, no fuss. Seat was comfortable for the route length. Staff went out of their way to help.",en,punctuality;cabin_comfort;staff_service
RVW000078,BKG000246,CUST0074,FLT00010,2025-01-04,4,Plenty of legroom in this cabin.,en,cabin_comfort
RVW000079,BKG000249,CUST0003,FLT00010,2025-01-14,4,Boarding was orderly and quick. Newer aircraft made a real difference.,en,boarding;cabin_comfort
RVW000080,BKG000250,CUST0008,FLT00010,2025-01-08,2,Seat was cramped and uncomfortable.,en,cabin_comfort
RVW000081,BKG000253,CUST0038,FLT00011,2025-01-04,2,One bag arrived on a later flight — frustrating. No communication during the delay — very frustrating. Cabin felt tired and the seat padding was thin.,en,baggage;communication;cabin_comfort
RVW000082,BKG000257,CUST0255,FLT00011,2025-01-15,3,Drinks options were very limited. Crew seemed rushed and impatient.,en,food_beverage;staff_service
RVW000083,BKG000261,CUST0077,FLT00011,2025-01-06,4,Seat was comfortable for the route length. Reasonable fare for the route.,en,cabin_comfort;value_for_money
RVW000084,BKG000263,CUST0278,FLT00011,2025-01-14,2,No communication during the delay — very frustrating. My luggage was damaged on arrival. Would not pay this fare again given the experience.,en,communication;baggage;value_for_money
RVW000085,BKG000267,CUST0233,FLT00011,2025-01-09,2,Boarding was very slow and disorganized. No communication during the delay — very frustrating. One bag arrived on a later flight — frustrating.,en,boarding;communication;baggage
RVW000086,BKG000273,CUST0033,FLT00011,2025-01-09,2,"Hard to sleep, seat was not ideal for a long flight.",en,cabin_comfort
RVW000087,BKG000274,CUST0124,FLT00011,2025-01-05,3,"Staff were unhelpful when I asked questions. Right on schedule, exactly what I needed.",en,staff_service;punctuality
RVW000088,BKG000280,CUST0287,FLT00012,2025-01-06,4,Staff went out of their way to help. Meal was tasty and well presented.,en,staff_service;food_beverage
RVW000089,BKG000281,CUST0003,FLT00012,2025-01-14,3,One bag arrived on a later flight — frustrating. Cold meal when it should have been warm. Recline didn't work properly.,en,baggage;food_beverage;cabin_comfort
RVW000090,BKG000282,CUST0121,FLT00012,2025-01-13,4,Clear announcements from the flight deck.,en,communication
RVW000091,BKG000286,CUST0245,FLT00012,2025-01-15,4,Good beverage selection on board.,en,food_beverage
RVW000092,BKG000290,CUST0036,FLT00012,2025-01-10,5,Crew kept us informed throughout the flight. Good beverage selection on board. Great experience overall.,en,communication;food_beverage
RVW000093,BKG000294,CUST0267,FLT00012,2025-01-05,3,Very limited content for such a long flight. Plenty of legroom in this cabin.,en,entertainment;cabin_comfort
RVW000094,BKG000295,CUST0229,FLT00012,2025-01-06,4,"Bags arrived quickly at the carousel. Smooth and punctual flight, no fuss.",en,baggage;punctuality
RVW000095,BKG000296,CUST0121,FLT00012,2025-01-08,3,Information from staff was inconsistent. Departed and arrived on time. Recline didn't work properly.,en,communication;punctuality;cabin_comfort
RVW000096,BKG000299,CUST0216,FLT00012,2025-01-02,3,"Hard to sleep, seat was not ideal for a long flight. Good beverage selection on board.",en,cabin_comfort;food_beverage
RVW000097,BKG000302,CUST0165,FLT00013,2025-01-08,4,Good selection of entertainment for a long-haul flight.,en,entertainment
RVW000098,BKG000305,CUST0191,FLT00013,2025-01-07,4,Meal was tasty and well presented. Bags arrived quickly at the carousel.,en,food_beverage;baggage
RVW000099,BKG000310,CUST0257,FLT00013,2025-01-14,4,Enjoyed the local menu options.,en,food_beverage
RVW000100,BKG000312,CUST0298,FLT00013,2025-01-04,4,Meal was tasty and well presented. IFE worked well throughout the flight. Cabin was modern and pleasant.,en,food_beverage;entertainment;cabin_comfort
RVW000101,BKG000313,CUST0168,FLT00013,2025-01-03,3,Boarded and pushed back early — great work.,en,punctuality
RVW000102,BKG000316,CUST0236,FLT00013,2025-01-13,3,Departed over an hour late and I missed my connection.,en,punctuality
RVW000103,BKG000319,CUST0107,FLT00013,2025-01-09,3,Good selection of entertainment for a long-haul flight. No communication during the delay — very frustrating.,en,entertainment;communication
RVW000104,BKG000320,CUST0197,FLT00013,2025-01-15,4,Cabin was modern and pleasant.,en,cabin_comfort
RVW000105,BKG000321,CUST0124,FLT00013,2025-01-07,4,"Smooth and punctual flight, no fuss. Bags arrived quickly at the carousel.",en,punctuality;baggage
RVW000106,BKG000323,CUST0038,FLT00013,2025-01-14,4,Cabin was modern and pleasant. Crew handled a tough situation with patience.,en,cabin_comfort;staff_service
RVW000107,BKG000324,CUST0174,FLT00013,2025-01-04,5,Baggage handling was efficient on arrival. IFE worked well throughout the flight. Plenty of legroom in this cabin. Great experience overall.,en,baggage;entertainment;cabin_comfort
RVW000108,BKG000328,CUST0008,FLT00014,2025-01-08,3,Food quality below other African carriers. Clear announcements from the flight deck.,en,food_beverage;communication
RVW000109,BKG000329,CUST0190,FLT00014,2025-01-15,3,Felt overpriced for what was offered. We were left guessing what was happening.,en,value_for_money;communication
RVW000110,BKG000337,CUST0170,FLT00014,2025-01-10,2,We were left guessing what was happening.,en,communication
RVW000111,BKG000340,CUST0279,FLT00014,2025-01-14,1,Would not pay this fare again given the experience. One bag arrived on a later flight — frustrating. Hope they take this feedback seriously.,en,value_for_money;baggage
RVW000112,BKG000349,CUST0103,FLT00014,2025-01-06,2,One bag arrived on a later flight — frustrating. Information from staff was inconsistent.,en,baggage;communication
RVW000113,BKG000350,CUST0114,FLT00014,2025-01-11,3,Boarding was orderly and quick. Cabin crew were friendly and professional.,en,boarding;staff_service
RVW000114,BKG000351,CUST0110,FLT00015,2025-01-02,5,"Reasonable fare for the route. Right on schedule, exactly what I needed. Would fly again.",en,value_for_money;punctuality
RVW000115,BKG000359,CUST0104,FLT00015,2025-01-05,4,"Crew kept us informed throughout the flight. Right on schedule, exactly what I needed.",en,communication;punctuality
RVW000116,BKG000360,CUST0255,FLT00015,2025-01-03,4,Seat was comfortable for the route length. Good beverage selection on board.,en,cabin_comfort;food_beverage
RVW000117,BKG000362,CUST0183,FLT00015,2025-01-04,4,Seat was comfortable for the route length. Staff went out of their way to help. Departed and arrived on time.,en,cabin_comfort;staff_service;punctuality
RVW000118,BKG000363,CUST0097,FLT00015,2025-01-05,3,Clear announcements from the flight deck. Good value for the price paid.,en,communication;value_for_money
RVW000119,BKG000366,CUST0193,FLT00015,2025-01-14,5,Snack service was a nice touch. Would fly again.,en,food_beverage
RVW000120,BKG000367,CUST0188,FLT00015,2025-01-10,5,Seat was comfortable for the route length. Cabin crew were friendly and professional. Would fly again.,en,cabin_comfort;staff_service
RVW000121,BKG000373,CUST0245,FLT00015,2025-01-14,5,Seat was comfortable for the route length. Boarded and pushed back early — great work. Highly recommend this airline.,en,cabin_comfort;punctuality
RVW000122,BKG000377,CUST0277,FLT00016,2025-01-13,3,We were left guessing what was happening.,en,communication
RVW000123,BKG000385,CUST0069,FLT00016,2025-01-10,5,Clear announcements from the flight deck. Great experience overall.,en,communication
RVW000124,BKG000394,CUST0089,FLT00016,2025-01-12,3,"Right on schedule, exactly what I needed.",en,punctuality
RVW000125,BKG000395,CUST0265,FLT00016,2025-01-03,4,Good value for the price paid. Priority boarding worked smoothly.,en,value_for_money;boarding
RVW000126,BKG000398,CUST0191,FLT00016,2025-01-06,5,Enjoyed the local menu options. Highly recommend this airline.,en,food_beverage
RVW000127,BKG000399,CUST0164,FLT00016,2025-01-02,3,Boarding was orderly and quick.,en,boarding
RVW000128,BKG000400,CUST0185,FLT00016,2025-01-08,3,"Would not pay this fare again given the experience. Right on schedule, exactly what I needed.",en,value_for_money;punctuality
RVW000129,BKG000406,CUST0173,FLT00017,2025-01-11,4,Cabin crew were friendly and professional. Good value for the price paid. Cabin was clean and well prepared.,en,staff_service;value_for_money;cleanliness
RVW000130,BKG000407,CUST0109,FLT00017,2025-01-13,4,Cabin was clean and well prepared. Boarding was orderly and quick. Good value for the price paid.,en,cleanliness;boarding;value_for_money
RVW000131,BKG000410,CUST0097,FLT00017,2025-01-09,2,Long wait for bags at the carousel. Boarding announced late and we sat on the apron for ages.,en,baggage;punctuality
RVW000132,BKG000411,CUST0234,FLT00017,2025-01-05,4,"Reasonable fare for the route. Right on schedule, exactly what I needed.",en,value_for_money;punctuality
RVW000133,BKG000417,CUST0074,FLT00017,2025-01-04,3,"Felt overpriced for what was offered. Cabin was clean and well prepared. Right on schedule, exactly what I needed.",en,value_for_money;cleanliness;punctuality
RVW000134,BKG000430,CUST0249,FLT00018,2025-01-04,4,Lavatories were kept tidy throughout the flight.,en,cleanliness
RVW000135,BKG000432,CUST0112,FLT00018,2025-01-11,3,Staff were unhelpful when I asked questions. Felt overpriced for what was offered.,en,staff_service;value_for_money
RVW000136,BKG000433,CUST0181,FLT00018,2025-01-05,5,"Smooth and punctual flight, no fuss. Would fly again.",en,punctuality
RVW000137,BKG000438,CUST0216,FLT00018,2025-01-03,3,"Right on schedule, exactly what I needed.",en,punctuality
RVW000138,BKG000446,CUST0142,FLT00018,2025-01-07,4,Baggage handling was efficient on arrival. Priority boarding worked smoothly. Good value for the price paid.,en,baggage;boarding;value_for_money
RVW000139,BKG000452,CUST0030,FLT00019,2025-01-06,5,Cabin crew were friendly and professional. Bags arrived quickly at the carousel. Great experience overall.,en,staff_service;baggage
RVW000140,BKG000453,CUST0008,FLT00019,2025-01-07,3,Boarding was very slow and disorganized. Cabin needed a deeper clean before boarding.,en,boarding;cleanliness
RVW000141,BKG000454,CUST0242,FLT00019,2025-01-05,4,Attentive service from boarding to landing. Cabin was clean and well prepared.,en,staff_service;cleanliness
RVW000142,BKG000461,CUST0159,FLT00019,2025-01-14,5,Bags arrived quickly at the carousel. Attentive service from boarding to landing. Great experience overall.,en,baggage;staff_service
RVW000143,BKG000468,CUST0005,FLT00019,2025-01-09,2,My luggage was damaged on arrival.,en,baggage
RVW000144,BKG000472,CUST0216,FLT00019,2025-01-13,4,Staff went out of their way to help. Boarding was orderly and quick.,en,staff_service;boarding
RVW000145,BKG000473,CUST0187,FLT00019,2025-01-15,4,Cabin crew were friendly and professional.,en,staff_service
RVW000146,BKG000477,CUST0176,FLT00020,2025-01-07,3,Staff went out of their way to help.,en,staff_service
RVW000147,BKG000479,CUST0183,FLT00020,2025-01-04,1,Felt overpriced for what was offered. No communication during the delay — very frustrating. Will avoid this airline next time.,en,value_for_money;communication
RVW000148,BKG000480,CUST0193,FLT00020,2025-01-07,1,Would not pay this fare again given the experience. Food quality below other African carriers. Very disappointing experience.,en,value_for_money;food_beverage
RVW000149,BKG000484,CUST0163,FLT00020,2025-01-11,3,Crew kept us informed throughout the flight. Felt ignored by the cabin crew during the flight. Seat was comfortable for the route length.,en,communication;staff_service;cabin_comfort
RVW000150,BKG000486,CUST0181,FLT00020,2025-01-06,3,Would not pay this fare again given the experience.,en,value_for_money
RVW000151,BKG000487,CUST0255,FLT00020,2025-01-12,3,Cabin felt tired and the seat padding was thin. Baggage handling was efficient on arrival.,en,cabin_comfort;baggage
RVW000152,BKG000495,CUST0046,FLT00020,2025-01-15,3,Would not pay this fare again given the experience. One bag arrived on a later flight — frustrating. Cabin crew were friendly and professional.,en,value_for_money;baggage;staff_service
RVW000153,BKG000500,CUST0248,FLT00020,2025-01-07,2,No communication during the delay — very frustrating.,en,communication
RVW000154,BKG000505,CUST0012,FLT00021,2025-01-03,3,Clear announcements from the flight deck.,en,communication
RVW000155,BKG000507,CUST0285,FLT00021,2025-01-11,3,We were left guessing what was happening.,en,communication
RVW000156,BKG000512,CUST0060,FLT00021,2025-01-06,2,Staff were unhelpful when I asked questions.,en,staff_service
RVW000157,BKG000513,CUST0185,FLT00021,2025-01-15,4,Reasonable fare for the route. Cabin crew were friendly and professional. Priority boarding worked smoothly.,en,value_for_money;staff_service;boarding
RVW000158,BKG000518,CUST0221,FLT00021,2025-01-14,3,Enjoyed the local menu options. Bags arrived quickly at the carousel.,en,food_beverage;baggage
RVW000159,BKG000520,CUST0178,FLT00021,2025-01-13,1,Would not pay this fare again given the experience. Boarding was very slow and disorganized. Will avoid this airline next time.,en,value_for_money;boarding
RVW000160,BKG000521,CUST0250,FLT00021,2025-01-14,3,Food quality below other African carriers.,en,food_beverage
RVW000161,BKG000522,CUST0156,FLT00021,2025-01-10,2,The delay was very disruptive to my schedule. Chaotic boarding process at the gate.,en,punctuality;boarding
RVW000162,BKG000523,CUST0132,FLT00021,2025-01-11,3,Would not pay this fare again given the experience. No communication during the delay — very frustrating.,en,value_for_money;communication
RVW000163,BKG000525,CUST0289,FLT00021,2025-01-07,4,Bags arrived quickly at the carousel. Boarded and pushed back early — great work.,en,baggage;punctuality
RVW000164,BKG000532,CUST0208,FLT00023,2025-01-13,4,"Good beverage selection on board. Right on schedule, exactly what I needed. Bags arrived quickly at the carousel.",en,food_beverage;punctuality;baggage
RVW000165,BKG000538,CUST0038,FLT00023,2025-01-15,5,Crew handled a tough situation with patience. Would fly again.,en,staff_service
RVW000166,BKG000540,CUST0169,FLT00023,2025-01-12,4,Cabin crew were friendly and professional. Baggage handling was efficient on arrival.,en,staff_service;baggage
RVW000167,BKG000541,CUST0212,FLT00023,2025-01-10,5,Snack service was a nice touch. Clear announcements from the flight deck. Plenty of legroom in this cabin. Highly recommend this airline.,en,food_beverage;communication;cabin_comfort
RVW000168,BKG000542,CUST0117,FLT00023,2025-01-14,5,Boarding was orderly and quick. Staff went out of their way to help. Newer aircraft made a real difference. Highly recommend this airline.,en,boarding;staff_service;cabin_comfort
RVW000169,BKG000547,CUST0223,FLT00023,2025-01-07,4,Boarded and pushed back early — great work.,en,punctuality
RVW000170,BKG000550,CUST0139,FLT00023,2025-01-16,4,Crew handled a tough situation with patience. Cabin was modern and pleasant. Baggage handling was efficient on arrival.,en,staff_service;cabin_comfort;baggage
RVW000171,BKG000551,CUST0115,FLT00024,2025-01-11,3,Boarding announced late and we sat on the apron for ages. Boarding was very slow and disorganized.,en,punctuality;boarding
RVW000172,BKG000552,CUST0120,FLT00024,2025-01-12,3,"Hard to sleep, seat was not ideal for a long flight.",en,cabin_comfort
RVW000173,BKG000554,CUST0178,FLT00024,2025-01-05,4,Good value for the price paid.,en,value_for_money
RVW000174,BKG000556,CUST0053,FLT00024,2025-01-14,4,Plenty of legroom in this cabin. Clear announcements from the flight deck. Reasonable fare for the route.,en,cabin_comfort;communication;value_for_money
RVW000175,BKG000558,CUST0016,FLT00024,2025-01-08,4,Meal was tasty and well presented. Cabin crew were friendly and professional. Seat was comfortable for the route length.,en,food_beverage;staff_service;cabin_comfort
RVW000176,BKG000559,CUST0265,FLT00024,2025-01-07,5,Clear announcements from the flight deck. Great experience overall.,en,communication
RVW000177,BKG000561,CUST0237,FLT00024,2025-01-10,4,Crew kept us informed throughout the flight. Priority boarding worked smoothly.,en,communication;boarding
RVW000178,BKG000562,CUST0058,FLT00024,2025-01-15,5,Crew kept us informed throughout the flight. Bags arrived quickly at the carousel. Highly recommend this airline.,en,communication;baggage
RVW000179,BKG000563,CUST0117,FLT00024,2025-01-12,4,Cabin was modern and pleasant. Good value for the price paid.,en,cabin_comfort;value_for_money
RVW000180,BKG000568,CUST0089,FLT00024,2025-01-06,5,Seat was comfortable for the route length. Baggage handling was efficient on arrival. Would fly again.,en,cabin_comfort;baggage
RVW000181,BKG000570,CUST0082,FLT00024,2025-01-09,4,Crew handled a tough situation with patience. Clear announcements from the flight deck.,en,staff_service;communication
RVW000182,BKG000574,CUST0286,FLT00024,2025-01-16,3,Significant delay with poor communication.,en,punctuality
RVW000183,BKG000576,CUST0220,FLT00025,2025-01-03,3,Cabin felt tired and the seat padding was thin. Information from staff was inconsistent.,en,cabin_comfort;communication
RVW000184,BKG000577,CUST0237,FLT00025,2025-01-10,4,Cabin crew were friendly and professional. Cabin was modern and pleasant.,en,staff_service;cabin_comfort
RVW000185,BKG000578,CUST0291,FLT00025,2025-01-14,4,Crew handled a tough situation with patience.,en,staff_service
RVW000186,BKG000581,CUST0152,FLT00025,2025-01-07,4,Enjoyed the local menu options.,en,food_beverage
